cases;deaths;country;pop2018;date
28;1;Albania;2866376;2020-03-27
23;0;Albania;2866376;2020-03-26
23;1;Albania;2866376;2020-03-25
11;2;Albania;2866376;2020-03-24
13;0;Albania;2866376;2020-03-23
6;0;Albania;2866376;2020-03-22
0;0;Albania;2866376;2020-03-21
11;0;Albania;2866376;2020-03-20
4;1;Albania;2866376;2020-03-19
4;0;Albania;2866376;2020-03-18
9;0;Albania;2866376;2020-03-17
4;0;Albania;2866376;2020-03-16
5;0;Albania;2866376;2020-03-15
10;0;Albania;2866376;2020-03-14
12;0;Albania;2866376;2020-03-13
1;1;Albania;2866376;2020-03-12
4;0;Albania;2866376;2020-03-11
4;0;Albania;2866376;2020-03-10
2;0;Albania;2866376;2020-03-09
93;8;Algeria;42228429;2020-04-22
89;9;Algeria;42228429;2020-04-21
94;8;Algeria;42228429;2020-04-20
117;3;Algeria;42228429;2020-04-19
150;16;Algeria;42228429;2020-04-18
108;12;Algeria;42228429;2020-04-17
90;11;Algeria;42228429;2020-04-16
87;12;Algeria;42228429;2020-04-15
69;20;Algeria;42228429;2020-04-14
89;18;Algeria;42228429;2020-04-13
64;19;Algeria;42228429;2020-04-12
95;21;Algeria;42228429;2020-04-11
94;30;Algeria;42228429;2020-04-10
104;12;Algeria;42228429;2020-04-09
45;20;Algeria;42228429;2020-04-08
103;21;Algeria;42228429;2020-04-07
69;22;Algeria;42228429;2020-04-06
80;25;Algeria;42228429;2020-04-05
185;42;Algeria;42228429;2020-04-04
139;5;Algeria;42228429;2020-04-03
131;14;Algeria;42228429;2020-04-02
132;9;Algeria;42228429;2020-04-01
73;4;Algeria;42228429;2020-03-31
57;2;Algeria;42228429;2020-03-30
45;3;Algeria;42228429;2020-03-29
42;1;Algeria;42228429;2020-03-28
65;4;Algeria;42228429;2020-03-27
38;2;Algeria;42228429;2020-03-26
34;2;Algeria;42228429;2020-03-25
29;0;Algeria;42228429;2020-03-24
62;2;Algeria;42228429;2020-03-23
37;5;Algeria;42228429;2020-03-22
12;3;Algeria;42228429;2020-03-21
18;1;Algeria;42228429;2020-03-20
12;1;Algeria;42228429;2020-03-19
2;1;Algeria;42228429;2020-03-18
10;0;Algeria;42228429;2020-03-17
11;2;Algeria;42228429;2020-03-16
11;0;Algeria;42228429;2020-03-15
1;1;Algeria;42228429;2020-03-14
5;1;Algeria;42228429;2020-03-13
0;0;Algeria;42228429;2020-03-12
3;0;Algeria;42228429;2020-03-09
